14:52:04.157 -> x=-1771,y=2036,z=4725
14:52:04.188 -> x=-1766,y=2002,z=4739
14:52:04.253 -> x=-1781,y=1936,z=4756
14:52:04.286 -> x=-1864,y=1967,z=4867
14:52:04.368 -> x=-1979,y=1807,z=4998
14:52:04.400 -> x=-2185,y=1543,z=5065
14:52:04.467 -> x=-2756,y=1125,z=5403
14:52:04.500 -> x=-3069,y=905,z=5619
14:52:04.587 -> x=-3077,y=1151,z=5762
14:52:04.618 -> x=-2613,y=1450,z=6010
14:52:04.700 -> x=-956,y=2085,z=6674
14:52:04.733 -> x=103,y=2617,z=6659
14:52:04.805 -> x=1075,y=2625,z=5815
14:52:04.839 -> x=2438,y=2855,z=5723
14:52:04.872 -> x=6566,y=3696,z=6605
14:52:04.957 -> x=12271,y=4196,z=10477
14:52:04.989 -> x=21804,y=-27801,z=24907
14:52:05.072 -> x=10769,y=-27801,z=2820
14:52:05.105 -> x=27523,y=4401,z=32767
14:52:05.143 -> x=5908,y=228,z=9522
14:52:05.216 -> x=-9336,y=1350,z=1523
14:52:05.249 -> x=-4824,y=1892,z=2001
14:52:05.318 -> x=-2748,y=1991,z=2868
14:52:05.391 -> x=-2232,y=1967,z=3335
14:52:05.425 -> x=-2062,y=2019,z=3745
14:52:05.510 -> x=-1953,y=2097,z=3939
14:52:05.551 -> x=-1882,y=2110,z=4107
14:52:05.584 -> x=-1865,y=2110,z=4172
14:52:05.656 -> x=-1831,y=2094,z=4256
14:52:05.687 -> x=-1826,y=2088,z=4284
14:52:05.760 -> x=-1815,y=2092,z=4328
14:52:05.794 -> x=-1818,y=2093,z=4318
14:52:05.867 -> x=-1817,y=2098,z=4315
14:52:05.901 -> x=-1820,y=2071,z=4279
14:52:05.981 -> x=-1829,y=2059,z=4208
14:52:06.015 -> x=-1871,y=2055,z=4067
14:52:06.088 -> x=-1956,y=2101,z=3726
14:52:06.121 -> x=-1951,y=2340,z=3214
14:52:06.201 -> x=-1605,y=3187,z=2177
14:52:06.232 -> x=223,y=5754,z=744
14:52:06.269 -> x=3475,y=10213,z=-264
14:52:06.343 -> x=11620,y=-27801,z=363
14:52:06.376 -> x=12353,y=-25608,z=7674
14:52:06.449 -> x=-856,y=-15841,z=27635
14:52:06.482 -> x=5639,y=10207,z=28170
14:52:06.556 -> x=27529,y=7910,z=7480
14:52:06.632 -> x=-15382,y=5697,z=-1679
14:52:06.662 -> x=-4536,y=2997,z=1155
14:52:06.736 -> x=-2655,y=2396,z=3019
14:52:06.769 -> x=-2019,y=2144,z=4061
14:52:06.806 -> x=-1828,y=2063,z=4449
14:52:06.871 -> x=-1739,y=1993,z=4697
14:52:06.936 -> x=-1727,y=1954,z=4822
14:52:06.969 -> x=-1728,y=1944,z=4920
14:52:07.035 -> x=-1750,y=1960,z=4925
14:52:07.114 -> x=-1762,y=1954,z=4947
14:52:07.149 -> x=-1759,y=1957,z=5004
14:52:07.183 -> x=-1767,y=1963,z=5019
14:52:07.269 -> x=-1770,y=1967,z=5006
14:52:07.301 -> x=-1778,y=1973,z=4997
14:52:07.365 -> x=-1783,y=1978,z=4982
14:52:07.398 -> x=-1783,y=2006,z=4945
14:52:07.473 -> x=-1791,y=2029,z=4894
14:52:07.506 -> x=-1781,y=2098,z=4741
14:52:07.575 -> x=-1752,y=2213,z=4560
14:52:07.648 -> x=-1611,y=2487,z=4127
14:52:07.682 -> x=-1291,y=2950,z=3523
14:52:07.750 -> x=238,y=4613,z=1883
14:52:07.784 -> x=6483,y=10411,z=-434
14:52:07.826 -> x=-26169,y=4452,z=7303
14:52:07.903 -> x=-18395,y=2976,z=12945
14:52:07.936 -> x=-3927,y=142,z=24175
14:52:08.009 -> x=8715,y=-27429,z=2819
14:52:08.042 -> x=19612,y=13818,z=32767
14:52:08.112 -> x=27523,y=10525,z=19592
14:52:08.149 -> x=-14837,y=5671,z=3670
14:52:08.240 -> x=-6462,y=3390,z=2636
14:52:08.272 -> x=-3229,y=2520,z=3599
14:52:08.309 -> x=-2372,y=2266,z=4154
14:52:08.377 -> x=-1962,y=2120,z=4583
14:52:08.415 -> x=-1822,y=2063,z=4791
14:52:08.493 -> x=-1721,y=2017,z=4948
14:52:08.526 -> x=-1695,y=1976,z=5026
14:52:08.595 -> x=-1689,y=1955,z=5063
14:52:08.628 -> x=-1700,y=1958,z=5100
14:52:08.699 -> x=-1709,y=1955,z=5122
14:52:08.778 -> x=-1719,y=1963,z=5132
14:52:08.812 -> x=-1716,y=1959,z=5099
14:52:08.846 -> x=-1725,y=1959,z=5104
14:52:08.915 -> x=-1733,y=1954,z=5077
14:52:08.989 -> x=-1746,y=1964,z=5046
14:52:09.020 -> x=-1749,y=1986,z=4986
14:52:09.058 -> x=-1762,y=2068,z=4796
14:52:09.128 -> x=-1730,y=2217,z=4543
14:52:09.212 -> x=-1510,y=2680,z=3975
14:52:09.253 -> x=-655,y=3747,z=3169
14:52:09.286 -> x=3717,y=6070,z=2718
14:52:09.374 -> x=6325,y=6232,z=2882
